start_date,length
2020-02-27,259.0
2020-02-28,525.0
2020-02-29,56.0
2020-03-01,141.0
2020-03-02,275.0
2020-03-03,219.0
2020-03-04,403.0
2020-03-05,262.0
2020-03-06,407.0
2020-03-07,94.0
2020-03-08,95.0
2020-03-09,165.0
2020-03-10,660.0
2020-03-11,382.0
2020-03-12,506.0
2020-03-13,245.0
2020-03-14,3.0
2020-03-15,37.0
2020-03-16,186.0
2020-03-17,269.0
2020-03-18,713.0
2020-03-19,530.0
2020-03-20,54.0
2020-03-21,2.0
2020-03-22,1.0
2020-03-23,113.0
2020-03-24,91.0
2020-03-25,96.0
2020-03-26,145.0
