date_2020,pedestrians_count_2019,pedestrians_count_2020
2020-03-16,21030.5,13579.5
2020-03-17,25012.75,8473.0
2020-03-18,24119.25,5837.5
2020-03-19,25489.25,5166.25
2020-03-20,31325.0,4193.75
2020-03-21,42237.0,2076.75
2020-03-22,7393.0,1419.5
2020-03-23,21670.0,3497.5
2020-03-24,21297.25,3524.75
2020-03-25,20452.0,3546.5
2020-03-26,27150.25,3633.75
2020-03-27,33718.25,3613.5
2020-03-28,44292.0,2404.0
